quantile,value,horizon,scenario_id,n_bootstrapping
0.3,364.98628998781936,9,D-2024-08-01,0
0.35,409.25626183601787,9,D-2024-08-01,0
0.4,505.5987222081536,9,D-2024-08-01,0
0.45,561.0060938282725,9,D-2024-08-01,0
0.5,609.3297002381695,9,D-2024-08-01,0
0.55,708.9797949420646,9,D-2024-08-01,0
0.6,876.4430413663933,9,D-2024-08-01,0
0.65,2589.8420647742137,9,D-2024-08-01,0
0.7,2770.457012857032,9,D-2024-08-01,0
0.75,2933.781204734915,9,D-2024-08-01,0
0.8,3026.705242647864,9,D-2024-08-01,0
0.85,3091.801462451386,9,D-2024-08-01,0
0.9,3192.079510483428,9,D-2024-08-01,0
0.95,8163.5399999999945,9,D-2024-08-01,0
0.975,13886.850000000013,9,D-2024-08-01,0
0.99,26451.73599999997,9,D-2024-08-01,0
0.01,2.8079877996093505,10,D-2024-08-01,0
0.025,9.268408433558315,10,D-2024-08-01,0
0.05,16.485366111238328,10,D-2024-08-01,0
0.1,101.24773476340297,10,D-2024-08-01,0
0.15,214.4509929789368,10,D-2024-08-01,0
0.2,322.9585739750446,10,D-2024-08-01,0
0.25,395.17053211790903,10,D-2024-08-01,0
0.3,461.4878574502837,10,D-2024-08-01,0
0.35,523.6127719224435,10,D-2024-08-01,0
0.4,592.7067785904304,10,D-2024-08-01,0
0.45,667.5248241008703,10,D-2024-08-01,0
0.5,753.3531253592522,10,D-2024-08-01,0
0.55,878.3059738845913,10,D-2024-08-01,0
0.6,1873.74,10,D-2024-08-01,0
0.65,3316.032386720976,10,D-2024-08-01,0
0.7,3591.1250014666443,10,D-2024-08-01,0
0.75,3997.1149750996005,10,D-2024-08-01,0
0.8,4432.750325071337,10,D-2024-08-01,0
0.85,4558.995492041362,10,D-2024-08-01,0
0.9,4740.721074380165,10,D-2024-08-01,0
0.95,13640.699999999972,10,D-2024-08-01,0
0.975,21140.13,10,D-2024-08-01,0
0.99,34046.06799999994,10,D-2024-08-01,0
0.01,6.06430425134625,11,D-2024-08-01,0
0.025,16.158020407811122,11,D-2024-08-01,0
0.05,40.53356461828129,11,D-2024-08-01,0
0.1,153.0659917687242,11,D-2024-08-01,0
0.15,252.94375690537473,11,D-2024-08-01,0
0.2,349.929765800903,11,D-2024-08-01,0
0.25,483.0005772988653,11,D-2024-08-01,0
0.3,570.9442158361519,11,D-2024-08-01,0
0.35,659.0759918805802,11,D-2024-08-01,0
0.4,747.7455807176075,11,D-2024-08-01,0
0.45,814.7156454246456,11,D-2024-08-01,0
0.5,941.4214761000259,11,D-2024-08-01,0
0.55,1152.8757438780067,11,D-2024-08-01,0
