quantiles,value,horizon,target_end_date,k,n_bootstrapping
0.35000000000000003,11603.15,18,2024-12-14,0.05,0
0.4,12378.940000000002,18,2024-12-14,0.05,0
0.45,12853.58,18,2024-12-14,0.05,0
0.5,13357.085816438885,18,2024-12-14,0.05,0
0.55,14098.647309778167,18,2024-12-14,0.05,0
0.6000000000000001,14376.02,18,2024-12-14,0.05,0
0.6500000000000001,15543.290000000003,18,2024-12-14,0.05,0
0.7000000000000001,16652.14,18,2024-12-14,0.05,0
0.7500000000000001,22045.847012233644,18,2024-12-14,0.05,0
0.8,28129.849671968583,18,2024-12-14,0.05,0
0.8500000000000001,28503.3,18,2024-12-14,0.05,0
0.9000000000000001,28818.04,18,2024-12-14,0.05,0
0.9500000000000001,32655.926030711053,18,2024-12-14,0.05,0
0.975,38056.19913763867,18,2024-12-14,0.05,0
0.99,43681.929999999906,18,2024-12-14,0.05,0
0.01,4764.85,19,2024-12-21,0.05,0
0.025,6308.095000000001,19,2024-12-21,0.05,0
0.05,9315.094506804997,19,2024-12-21,0.05,0
0.1,11738.76,19,2024-12-21,0.05,0
0.15000000000000002,12450.060000000001,19,2024-12-21,0.05,0
0.2,13479.82,19,2024-12-21,0.05,0
0.25,14007.099999999999,19,2024-12-21,0.05,0
0.3,14667.48,19,2024-12-21,0.05,0
0.35000000000000003,15968.82,19,2024-12-21,0.05,0
0.4,16745.260000000002,19,2024-12-21,0.05,0
0.45,17917.81,19,2024-12-21,0.05,0
0.5,19028.4,19,2024-12-21,0.05,0
0.55,19768.931421026016,19,2024-12-21,0.05,0
0.6000000000000001,21777.1,19,2024-12-21,0.05,0
0.6500000000000001,22685.06,19,2024-12-21,0.05,0
0.7000000000000001,24256.237398955658,19,2024-12-21,0.05,0
0.7500000000000001,26048.300000000003,19,2024-12-21,0.05,0
0.8,29259.600000000002,19,2024-12-21,0.05,0
0.8500000000000001,29684.9,19,2024-12-21,0.05,0
0.9000000000000001,30352.600000000006,19,2024-12-21,0.05,0
0.9500000000000001,34712.8534614558,19,2024-12-21,0.05,0
0.975,41664.46143535583,19,2024-12-21,0.05,0
0.99,47477.751999999884,19,2024-12-21,0.05,0
0.01,7225.7,20,2024-12-28,0.05,0
0.025,9211.285000000002,20,2024-12-28,0.05,0
0.05,11413.752056473753,20,2024-12-28,0.05,0
0.1,12600.199999999999,20,2024-12-28,0.05,0
0.15000000000000002,13411.721853204,20,2024-12-28,0.05,0
0.2,16720.218316426526,20,2024-12-28,0.05,0
0.25,18764.9,20,2024-12-28,0.05,0
0.3,20915.2,20,2024-12-28,0.05,0
0.35000000000000003,21908.54,20,2024-12-28,0.05,0
0.4,23189.18,20,2024-12-28,0.05,0
0.45,23737.239999999998,20,2024-12-28,0.05,0
0.5,25022.9,20,2024-12-28,0.05,0
0.55,26218.57,20,2024-12-28,0.05,0
0.6000000000000001,27740.620000000006,20,2024-12-28,0.05,0
0.6500000000000001,28812.3,20,2024-12-28,0.05,0
0.7000000000000001,29176.0,20,2024-12-28,0.05,0
0.7500000000000001,29552.450000000004,20,2024-12-28,0.05,0
0.8,31263.100000000002,20,2024-12-28,0.05,0
