n_bootstrap,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_rel_original2
5,50,2025-03-08,3331.817588326306,3340.51590630269,0.9973961153844614
5,50,2025-03-15,2563.8772432711876,2632.881950596462,0.9737911882795801
5,50,2025-03-22,1961.5609160204656,2078.4290401121075,0.943770933798472
5,50,2025-03-29,1507.9152537132775,1660.1288689996225,0.9083121689353746
5,50,2025-04-05,1209.9999458082236,1365.9714695424573,0.8858164118270512
5,50,2025-04-12,1043.021480256054,1176.2167109846782,0.8867596170971599
5,50,2025-04-19,962.7903315716334,1065.5835675882195,0.9035333885175778
5,50,2025-04-26,909.0663243501998,983.6438995396676,0.924182343605883
5,50,2025-05-03,845.0136816993966,896.2612741309,0.9428206998219375
5,50,2025-05-10,817.6900998980906,856.9633759859822,0.9541715816703302
5,50,2025-05-17,802.3169891769195,835.767011693419,0.9599768571282521
5,50,2025-05-24,827.2464879969796,860.6559731376012,0.9611813707411752
5,75,2024-11-30,7841.290694558662,8007.167222801649,0.9792839934988958
5,75,2024-12-07,8054.056644033845,8164.939656812363,0.9864196163794055
5,75,2024-12-14,8246.859384136458,8317.168372365577,0.9915465233981885
5,75,2024-12-21,8490.50736113608,8478.847266362025,1.001375198114526
5,75,2024-12-28,8799.224111965374,8686.71335303425,1.0129520515249675
5,75,2025-01-04,8946.415656003745,8878.543708946367,1.0076444909528335
5,75,2025-01-11,8836.089392223077,8783.438886781065,1.0059942929097225
5,75,2025-01-18,9022.095109566484,8861.237528992504,1.018152947604404
5,75,2025-01-25,9046.307338946614,8837.492930098031,1.0236282405542207
5,75,2025-02-01,8763.383443535698,8494.079524643741,1.031704897288827
5,75,2025-02-08,7796.006391177697,7585.903049836628,1.0276965497661605
5,75,2025-02-15,6411.649328786482,6277.569827309804,1.0213585041927182
5,75,2025-02-22,5238.086430859681,5147.7363681815,1.0175514160431058
5,75,2025-03-01,4215.061672342606,4196.918741145831,1.0043229169578398
5,75,2025-03-08,3326.3408296394564,3340.51590630269,0.9957566205158643
5,75,2025-03-15,2588.096498470317,2632.881950596462,0.9829899505688057
