horizon,k_perc,round,wis_adaptive,wis_baseline,wis_flusight,wis_adaptive_baseline,wis_adaptive_flusight
1,50,6,8928.885611800759,17132.01217391304,12774.162173913042,0.5211813721097395,0.6989801358585398
1,50,7,15421.821747826089,24441.34956521739,18915.718260869562,0.6309725944827924,0.8152913643109602
1,50,8,8162.432097967486,3679.9952173913034,3210.639565217391,2.2180550831676675,2.5423072045817796
1,50,9,9087.170002192563,2650.1786956521737,3945.4373913043482,3.428889537562421,2.303209784096555
1,50,10,15663.768517989725,8418.079565217391,11515.993043478262,1.860729445075662,1.3601752327264935
1,50,12,29139.238025809278,16058.192608695654,16716.246521739125,1.8146025979306115,1.7431687184030407
1,50,13,21913.324197252517,1446.4760869565216,5579.763478260869,15.149454868182133,3.927285499220225
1,50,14,16676.502347270645,8727.025652173912,4525.190869565217,1.9109033262800723,3.6852594350065355
1,50,15,13874.61573701897,8368.296086956521,3225.1243478260867,1.6579977085950661,4.302040554303351
1,50,16,10332.081426300832,8449.416086956522,3024.3639130434785,1.2228160289384502,3.4162824724037426
1,50,17,7293.707076657053,7686.43652173913,2400.386521739131,0.9489061746660704,3.038555253748304
1,50,18,5049.121674009239,6043.119565217391,1643.3873913043476,0.835515766239453,3.0723867669459106
1,50,19,3597.8774595778787,5320.525652173913,1685.7404347826086,0.6762259398388244,2.1343009785737608
1,50,20,2455.290837053337,4013.9073913043467,1130.2243478260868,0.6116959355794886,2.172392447372001
1,50,21,1779.2399092958628,3143.623043478261,820.8743478260869,0.565983861515159,2.167493617028971
1,50,22,1497.9294619134355,2026.2313043478257,633.901304347826,0.7392687393088953,2.3630326229641443
1,50,23,1415.0113521739127,1344.3913043478258,599.3065217391304,1.0525293845606545,2.361081184412418
1,50,24,1060.2254826086955,1296.6473913043478,509.02565217391293,0.8176667687135619,2.0828527562034544
1,50,25,935.8338347826086,1120.725652173913,412.40173913043475,0.8350249081631504,2.269228633118403
1,75,4,3392.144517319554,3680.1482608695646,2259.7182608695653,0.921741266075525,1.501136038089199
1,75,5,4756.720032212806,7746.9365217391305,5646.666956521739,0.614013038426828,0.8423942954026942
1,75,6,8401.93727021891,17132.01217391304,12774.162173913042,0.49042326055619795,0.6577290280044401
1,75,7,14154.695650545415,24441.34956521739,18915.718260869562,0.5791290539328088,0.7483033662975861
1,75,8,9183.654057674328,3679.9952173913034,3210.639565217391,2.4955614111326185,2.8603815131308603
1,75,9,10390.07577561906,2650.1786956521737,3945.4373913043482,3.9205189418603337,2.633440793793495
1,75,10,15639.372224834178,8418.079565217391,11515.993043478262,1.8578313620905176,1.358056762086277
1,75,12,28876.76199942553,16058.192608695654,16716.246521739125,1.798257294771051,1.7274668665523634
1,75,13,22229.097664609944,1446.4760869565216,5579.763478260869,15.36776021744085,3.9838781251599626
1,75,14,17469.568490472866,8727.025652173912,4525.190869565217,2.001778061248299,3.8605152785856633
1,75,15,14751.358769244185,8368.296086956521,3225.1243478260867,1.7627673084173974,4.573888377106273
1,75,16,11331.95859931104,8449.416086956522,3024.3639130434785,1.3411528657943994,3.746889899869047
1,75,17,8289.876416204677,7686.43652173913,2400.386521739131,1.0785071070006071,3.453558975243073
1,75,18,5952.186226263385,6043.119565217391,1643.3873913043476,0.984952583186109,3.6219008724042645
1,75,19,4213.987475355891,5320.525652173913,1685.7404347826086,0.79202465148046,2.499784301548964
1,75,20,2874.4727425081724,4013.9073913043467,1130.2243478260868,0.7161283164468059,2.5432762513363247
1,75,21,2019.9009338685453,3143.623043478261,820.8743478260869,0.6425391676839302,2.460670063838428
1,75,22,1635.4808289339153,2026.2313043478257,633.901304347826,0.8071540625320269,2.580024394517598
1,75,23,1498.223027715449,1344.3913043478258,599.3065217391304,1.114424812828024,2.499927788817897
1,75,24,1134.045347803952,1296.6473913043478,509.02565217391293,0.874598102313052,2.227874652212018
1,75,25,1005.4216179267514,1120.725652173913,412.40173913043475,0.8971166279423496,2.4379664839598454
2,5,4,2534.075847826087,9200.22652173913,6382.499130434783,0.27543624516617526,0.3970350478768436
2,5,5,7728.013304347825,19672.90260869565,16141.202173913043,0.3928252712912813,0.4787755720473921
2,5,6,14199.291782608696,27844.322173913046,22419.511304347827,0.5099528619846172,0.6333452852674367
2,5,7,5586.390021739129,16144.59391304348,9872.213913043479,0.34602233117959036,0.5658700339098421
2,5,8,4210.127543478262,5282.515217391304,5634.332608695652,0.7969929797111639,0.7472273711673735
2,5,9,9834.156413043476,2980.934347826087,5521.322608695652,3.2990181149797055,1.7811233122939507
2,5,10,22864.714478260867,18449.836086956522,24453.896956521738,1.2392909275993802,0.9350131195413808
2,5,12,18422.607217391305,7678.142173913043,11716.178260869563,2.3993573966347275,1.57240755536473
2,5,13,14287.73867391304,7194.785217391304,5367.025652173912,1.985846448810811,2.6621334794861276
2,5,14,11821.929543478262,15106.326086956522,5151.371739130435,0.7825813818282292,2.294909034360202
2,5,15,9598.127934782608,14564.048695652176,4247.735217391304,0.6590288274474081,2.259587154935044
2,5,16,6728.392491440121,13438.056956521736,3420.3865217391303,0.5006968279126626,1.9671439027946473
2,5,17,3512.0266170173077,11704.576521739127,2607.637391304348,0.30005584657371887,1.3468232311474033
2,5,18,1554.0911971956216,9101.738695652173,2029.1856521739128,0.17074662865656628,0.7658693996434917
2,5,19,808.180695652174,7393.416956521736,2169.2856521739122,0.1093108505045529,0.37255614300600276
2,5,20,648.3503260869567,5171.404347826087,1157.6521739130435,0.1253721972754857,0.5600562420190792
2,5,21,504.9114347826087,3787.555652173912,896.4869565217393,0.13330799099752075,0.5632111333126405
2,5,22,627.5892391304347,2479.9343478260867,693.0504347826087,0.253066876419765,0.9055462743159416
2,5,23,588.3471956521737,1867.193043478261,540.9982608695652,0.31509714419039586,1.0875214177334007
2,5,24,516.166195652174,1666.2821739130434,561.7721739130435,0.3097711802557582,0.918817662428526
2,5,25,468.51473913043475,1480.4273913043478,440.86086956521734,0.3164726226239602,1.062726976863449
2,15,4,2765.023002793877,9200.22652173913,6382.499130434783,0.30053857872525525,0.43321948758424983
2,15,5,7440.954356521737,19672.90260869565,16141.202173913043,0.378233680333107,0.4609913361067739
2,15,6,14257.760660815315,27844.322173913046,22419.511304347827,0.5120527112049152,0.6359532314181309
2,15,7,6847.112156521737,16144.59391304348,9872.213913043479,0.42411176108863563,0.693574128035771
2,15,8,5846.837669565218,5282.515217391304,5634.332608695652,1.1068283628064202,1.03771610155595
2,15,9,11129.679739130432,2980.934347826087,5521.322608695652,3.7336212208923687,2.0157633465579523
2,15,10,23059.88533891612,18449.836086956522,24453.896956521738,1.249869388011461,0.942994295752365
2,15,12,19708.16970434782,7678.142173913043,11716.178260869563,2.5667888478683722,1.682132967383265
2,15,13,15774.456040912757,7194.785217391304,5367.025652173912,2.192484634952353,2.939143030651124
2,15,14,14067.256779347856,15106.326086956522,5151.371739130435,0.9312162797474731,2.7307788083883158
2,15,15,11341.827221071306,14564.048695652176,4247.735217391304,0.7787551015575219,2.6700880917988936
2,15,16,7503.6687618904525,13438.056956521736,3420.3865217391303,0.5583894149405867,2.1938072537121145
2,15,17,4291.077681213774,11704.576521739127,2607.637391304348,0.3666153724779257,1.6455806683564098
2,15,18,2211.7163308354975,9101.738695652173,2029.1856521739128,0.24299932186495493,1.089952675579997
2,15,19,1210.7997695652175,7393.416956521736,2169.2856521739122,0.16376727792920842,0.558155984829308
2,15,20,841.1039304347826,5171.404347826087,1157.6521739130435,0.16264516828748055,0.7265601442199353
2,15,21,709.8325826086956,3787.555652173912,896.4869565217393,0.18741178950104107,0.7917935419414912
2,15,22,783.0544913043478,2479.9343478260867,693.0504347826087,0.31575613765371424,1.1298665320799792
2,15,23,647.3370434782607,1867.193043478261,540.9982608695652,0.3466899396070921,1.1965603039791173
2,15,24,606.3801565217391,1666.2821739130434,561.7721739130435,0.36391204684002315,1.0794058244251885
2,15,25,566.8305347826084,1480.4273913043478,440.86086956521734,0.38288303642044597,1.2857356456734843
2,25,4,2998.2798130434794,9200.22652173913,6382.499130434783,0.3258919555903185,0.46976580047559413
2,25,5,7903.827512708106,19672.90260869565,16141.202173913043,0.40176214308174957,0.489667834374942
2,25,6,14341.93647391304,27844.322173913046,22419.511304347827,0.5150757983740685,0.6397078098277593
2,25,7,7111.200813043478,16144.59391304348,9872.213913043479,0.4404694755002926,0.7203248304463841
2,25,8,6839.297255748163,5282.515217391304,5634.332608695652,1.2947046954510533,1.2138611137711055
2,25,9,12880.683710148916,2980.934347826087,5521.322608695652,4.321022272611419,2.332898224396967
2,25,10,24225.450038227977,18449.836086956522,24453.896956521738,1.313044187712575,0.990658056722005
2,25,12,20699.000951619888,7678.142173913043,11716.178260869563,2.6958345499183394,1.7667024596878769
2,25,13,16423.949586396197,7194.785217391304,5367.025652173912,2.2827574542039235,3.0601585777298608
2,25,14,14289.404146075974,15106.326086956522,5151.371739130435,0.9459218650399772,2.7739027330394257
