state,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2
36,50,2023-12-30,159.23069718866304,168.73079260130788
36,50,2024-01-06,149.23492414246823,160.8286636208196
36,50,2024-01-13,143.95142159641716,154.85862760539385
36,50,2024-01-20,139.77586293063376,152.66947733509596
36,50,2024-01-27,132.45324864903566,150.61038448818894
36,50,2024-02-03,126.97487319127568,148.09772169552127
36,50,2024-02-10,118.07409958515417,145.82936053350906
36,50,2024-02-17,109.5467160993984,143.31034683035531
36,50,2024-02-24,104.19193302621687,138.67424006082493
36,50,2024-03-02,99.73896978885361,131.7287603569109
36,50,2024-03-09,94.27068214512478,121.96981405571272
36,50,2024-03-16,92.3883803740876,116.56784966264935
36,50,2024-03-23,94.7490119814349,117.47778518604956
36,50,2024-03-30,102.06696460993881,121.1250169201169
36,50,2024-04-06,109.23003537305435,119.92918278491601
36,50,2024-04-13,98.20109442034493,103.87942549147122
36,50,2024-04-20,59.655429979602076,72.23703569593485
36,75,2023-11-04,155.0490379378532,163.37383125547916
36,75,2023-11-11,159.60589899504373,167.31500648156933
36,75,2023-11-18,164.40733447090918,170.97328831377874
36,75,2023-11-25,168.05221680326596,174.16450365010428
36,75,2023-12-02,171.55722196211244,176.5707650942704
36,75,2023-12-09,172.88744053760553,177.44365336623142
36,75,2023-12-16,172.30859976536502,176.42167539562212
36,75,2023-12-23,168.83320819288403,172.9388425476391
36,75,2023-12-30,164.32823581654614,168.73079260130788
36,75,2024-01-06,154.41136523217477,160.8286636208196
36,75,2024-01-13,147.94126277750576,154.85862760539385
36,75,2024-01-20,145.41353769520347,152.66947733509596
36,75,2024-01-27,141.19970272662744,150.61038448818894
36,75,2024-02-03,136.5620188090289,148.09772169552127
36,75,2024-02-10,132.6052993266752,145.82936053350906
36,75,2024-02-17,128.46162513746498,143.31034683035531
36,75,2024-02-24,126.7619935589088,138.67424006082493
36,75,2024-03-02,121.66500343438254,131.7287603569109
36,75,2024-03-09,113.6103022278838,121.96981405571272
36,75,2024-03-16,110.09431391596674,116.56784966264935
36,75,2024-03-23,113.49756264007883,117.47778518604956
36,75,2024-03-30,121.11375080114455,121.1250169201169
36,75,2024-04-06,125.95153160937575,119.92918278491601
36,75,2024-04-13,113.07133612147554,103.87942549147122
36,75,2024-04-20,72.14394846865213,72.23703569593485
39,5,2023-11-04,82.62681157127592,135.5066339388416
39,5,2023-11-11,79.62348678567396,138.02207039643497
39,5,2023-11-18,81.76467650806104,139.62343295225298
39,5,2023-11-25,88.826301192021,140.3002675113878
39,5,2023-12-02,85.53169170969171,139.76980494350693
39,5,2023-12-09,82.23488972079343,138.25975395105564
39,5,2023-12-16,75.91931113463312,135.68323469951528
39,5,2023-12-23,81.52386516176206,132.535489365323
39,5,2023-12-30,85.13488170319242,129.8653820680192
39,5,2024-01-06,99.85222010173644,127.35574418713495
39,5,2024-01-13,81.48941515008428,125.22846292321351
39,5,2024-01-20,78.4423195845636,123.55675327543294
39,5,2024-01-27,69.76254058386854,122.44782733307453
39,5,2024-02-03,63.63824757435113,121.93979300962702
39,5,2024-02-10,60.39118119430932,121.23587372828534
39,5,2024-02-17,60.708835285556596,119.6885964327866
39,5,2024-02-24,65.20028218920207,116.41448580209351
39,5,2024-03-02,62.39172257484238,108.03836200311464
39,5,2024-03-09,53.561677230249174,96.044695827653
39,5,2024-03-16,42.15182346841711,78.03259820174769
39,5,2024-03-23,40.93688549822601,72.64325280989236
39,5,2024-03-30,41.77496845987005,70.68106233475453
39,5,2024-04-06,42.87383724191408,67.44661246482255
39,5,2024-04-13,30.259673108077603,50.533177539007646
39,5,2024-04-20,16.446463640303893,34.40757961216324
39,15,2023-11-04,92.7677672069692,135.5066339388416
39,15,2023-11-11,89.3833158290358,138.02207039643497
39,15,2023-11-18,91.04917721220268,139.62343295225298
39,15,2023-11-25,93.84739015639066,140.3002675113878
39,15,2023-12-02,92.43329176527939,139.76980494350693
39,15,2023-12-09,93.28047942400993,138.25975395105564
39,15,2023-12-16,89.64934664527567,135.68323469951528
39,15,2023-12-23,90.04687668164439,132.535489365323
39,15,2023-12-30,92.8070331607675,129.8653820680192
39,15,2024-01-06,99.46737081764707,127.35574418713495
39,15,2024-01-13,87.80650446695545,125.22846292321351
39,15,2024-01-20,80.13146526985402,123.55675327543294
39,15,2024-01-27,75.89524150904104,122.44782733307453
39,15,2024-02-03,72.99770778454115,121.93979300962702
39,15,2024-02-10,69.31239129913132,121.23587372828534
39,15,2024-02-17,67.41937445438977,119.6885964327866
39,15,2024-02-24,68.92565026274559,116.41448580209351
39,15,2024-03-02,64.69787860532726,108.03836200311464
39,15,2024-03-09,58.62316871122499,96.044695827653
39,15,2024-03-16,49.360941071995875,78.03259820174769
39,15,2024-03-23,47.94946336230728,72.64325280989236
39,15,2024-03-30,49.148069956240505,70.68106233475453
39,15,2024-04-06,49.78233466090429,67.44661246482255
39,15,2024-04-13,37.00217838735249,50.533177539007646
39,15,2024-04-20,22.606248991696514,34.40757961216324
39,25,2023-11-04,98.08627906975055,135.5066339388416
39,25,2023-11-11,93.91374554107024,138.02207039643497
39,25,2023-11-18,96.35292321187141,139.62343295225298
39,25,2023-11-25,100.38547564933383,140.3002675113878
39,25,2023-12-02,100.73949978932541,139.76980494350693
39,25,2023-12-09,102.46673456174317,138.25975395105564
39,25,2023-12-16,98.90009824485371,135.68323469951528
39,25,2023-12-23,99.56953322023638,132.535489365323
39,25,2023-12-30,100.05735196171409,129.8653820680192
39,25,2024-01-06,102.13939893710543,127.35574418713495
39,25,2024-01-13,94.10330892634603,125.22846292321351
39,25,2024-01-20,84.9663191808663,123.55675327543294
39,25,2024-01-27,80.22975771341864,122.44782733307453
39,25,2024-02-03,78.06151295491382,121.93979300962702
39,25,2024-02-10,76.20480926757617,121.23587372828534
39,25,2024-02-17,74.29429642867807,119.6885964327866
39,25,2024-02-24,73.89635121918785,116.41448580209351
39,25,2024-03-02,70.40718021357534,108.03836200311464
39,25,2024-03-09,64.53213865869007,96.044695827653
39,25,2024-03-16,53.32589347724007,78.03259820174769
39,25,2024-03-23,51.798083829537134,72.64325280989236
39,25,2024-03-30,52.9429082154999,70.68106233475453
39,25,2024-04-06,53.896052987868295,67.44661246482255
39,25,2024-04-13,40.44107335020706,50.533177539007646
39,25,2024-04-20,25.16821173987537,34.40757961216324
39,50,2023-11-04,108.11150419755309,135.5066339388416
39,50,2023-11-11,106.47244786050828,138.02207039643497
39,50,2023-11-18,108.6365172514706,139.62343295225298
39,50,2023-11-25,113.15903195469278,140.3002675113878
39,50,2023-12-02,115.00219138292113,139.76980494350693
39,50,2023-12-09,116.48415997812417,138.25975395105564
39,50,2023-12-16,115.0974360984785,135.68323469951528
39,50,2023-12-23,114.35144563456596,132.535489365323
39,50,2023-12-30,111.61409697115356,129.8653820680192
39,50,2024-01-06,108.99294705655399,127.35574418713495
39,50,2024-01-13,103.4772902826986,125.22846292321351
39,50,2024-01-20,97.87744164416941,123.55675327543294
39,50,2024-01-27,94.31023782672301,122.44782733307453
39,50,2024-02-03,92.63492712754935,121.93979300962702
39,50,2024-02-10,92.09061496924944,121.23587372828534
39,50,2024-02-17,91.31110741191773,119.6885964327866
39,50,2024-02-24,91.46491092752588,116.41448580209351
39,50,2024-03-02,86.79032717158933,108.03836200311464
39,50,2024-03-09,78.48218266214441,96.044695827653
39,50,2024-03-16,64.1225987349222,78.03259820174769
39,50,2024-03-23,61.74523098210949,72.64325280989236
39,50,2024-03-30,62.618822739692924,70.68106233475453
39,50,2024-04-06,63.22796971853207,67.44661246482255
39,50,2024-04-13,47.601215082139376,50.533177539007646
39,50,2024-04-20,30.57329308517933,34.40757961216324
39,75,2023-11-04,119.72648528937685,135.5066339388416
39,75,2023-11-11,117.9903672178918,138.02207039643497
39,75,2023-11-18,121.62828103578634,139.62343295225298
39,75,2023-11-25,124.68247405557112,140.3002675113878
39,75,2023-12-02,127.2874368426773,139.76980494350693
39,75,2023-12-09,128.53180302824697,138.25975395105564
39,75,2023-12-16,128.48875485127218,135.68323469951528
39,75,2023-12-23,126.47088758434886,132.535489365323
39,75,2023-12-30,124.038396954496,129.8653820680192
39,75,2024-01-06,120.6520971779648,127.35574418713495
39,75,2024-01-13,117.8610468117858,125.22846292321351
39,75,2024-01-20,115.31659214592615,123.55675327543294
39,75,2024-01-27,113.60203097533493,122.44782733307453
39,75,2024-02-03,112.7321697348509,121.93979300962702
39,75,2024-02-10,111.99031182581635,121.23587372828534
39,75,2024-02-17,111.24589923629935,119.6885964327866
39,75,2024-02-24,109.77678444816662,116.41448580209351
39,75,2024-03-02,102.90033191038998,108.03836200311464
39,75,2024-03-09,92.6673341531368,96.044695827653
39,75,2024-03-16,75.46067043268243,78.03259820174769
39,75,2024-03-23,71.77498311255502,72.64325280989236
39,75,2024-03-30,72.30299818922855,70.68106233475453
39,75,2024-04-06,72.36082985018318,67.44661246482255
39,75,2024-04-13,55.00802785938771,50.533177539007646
39,75,2024-04-20,35.57503758576597,34.40757961216324
40,5,2023-11-04,59.000760011496865,58.98599863507822
40,5,2023-11-11,50.49306104077502,60.67893112865058
40,5,2023-11-18,60.98385436641282,62.345691102773394
40,5,2023-11-25,52.94401682329931,63.818289761036475
40,5,2023-12-02,50.28111438218051,64.89618310207459
40,5,2023-12-09,48.147968952203726,65.90875778160655
40,5,2023-12-16,48.595260399113975,66.37549255309439
40,5,2023-12-23,49.38690904207651,66.62599921554941
40,5,2023-12-30,49.20240804953714,67.07946339150921
40,5,2024-01-06,48.22102813891307,67.71233470384941
40,5,2024-01-13,48.67311203565412,68.67400240453568
40,5,2024-01-20,46.86406582937395,69.44523725520243
40,5,2024-01-27,46.83592412598024,69.36978651622802
40,5,2024-02-03,43.74902260794281,66.5755435473921
40,5,2024-02-10,40.269223849499305,59.527037254130846
40,5,2024-02-17,39.168933971581644,48.470759262674555
40,5,2024-02-24,33.21900654604485,39.101814304732585
40,5,2024-03-02,27.807898439688202,36.79915399376808
40,5,2024-03-09,25.129614834258717,33.60377494461623
40,5,2024-03-16,22.485873213252685,29.38150745257537
40,5,2024-03-23,20.860046820831823,26.01384547959484
40,5,2024-03-30,18.887376455668296,23.78490398507941
40,5,2024-04-06,16.8919649149053,20.899032028916274
40,5,2024-04-13,15.845599139317557,18.605993291678292
40,5,2024-04-20,14.403212334401555,17.41101325935465
40,15,2023-11-04,60.272001174487016,58.98599863507822
40,15,2023-11-11,51.95551651907609,60.67893112865058
40,15,2023-11-18,64.69643481295272,62.345691102773394
40,15,2023-11-25,57.94129756625071,63.818289761036475
40,15,2023-12-02,55.051070789688275,64.89618310207459
40,15,2023-12-09,53.42794721469549,65.90875778160655
40,15,2023-12-16,52.95395300362477,66.37549255309439
40,15,2023-12-23,53.82109618925363,66.62599921554941
40,15,2023-12-30,53.30329134694949,67.07946339150921
40,15,2024-01-06,54.13517994151522,67.71233470384941
40,15,2024-01-13,54.785929247807864,68.67400240453568
40,15,2024-01-20,55.45848601273941,69.44523725520243
40,15,2024-01-27,55.676578069463034,69.36978651622802
40,15,2024-02-03,53.2072179174985,66.5755435473921
40,15,2024-02-10,48.17093170410545,59.527037254130846
