state,k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2
28,75,2023-11-25,0.308998457131708,0.40003200638349234
28,75,2023-12-02,0.2785399077941735,0.3496155084719899
28,75,2023-12-09,0.26290824532501833,0.3090925514350751
28,75,2023-12-16,0.2482619550553433,0.2605026921853626
28,75,2023-12-23,0.24927665484197725,0.2222526197014939
28,75,2023-12-30,0.26508910206537456,0.23218916671417594
28,75,2024-01-06,0.2407383835869214,0.22922429697067032
28,75,2024-01-13,0.2177593299648807,0.21902327483472653
28,75,2024-01-20,0.20110530542249574,0.2081737661700177
28,75,2024-01-27,0.2119643960155633,0.22913772947154207
28,75,2024-02-03,0.20415204797334383,0.24003338226749812
28,75,2024-02-10,0.21687500063849924,0.2801198800080073
28,75,2024-02-17,0.19953337901005463,0.2988911777567963
28,75,2024-02-24,0.2430414259598582,0.3356381034141477
28,75,2024-03-02,0.24219741466627281,0.33920260639473776
28,75,2024-03-09,0.30540445455188286,0.3798726248241393
28,75,2024-03-16,0.3618307569494113,0.43187829916779147
28,75,2024-03-23,0.42587130200958645,0.4792576924338914
28,75,2024-03-30,0.48383500565115345,0.5285935622905965
28,75,2024-04-06,0.5162018008264317,0.5573913316689062
28,75,2024-04-13,0.4385876353471016,0.5039338251387274
28,75,2024-04-20,0.374679856645104,0.47329004461427177
56,5,2023-11-04,0.5451668402039063,0.6884390745749601
56,5,2023-11-11,0.7143318413338849,0.6781764609893942
56,5,2023-11-18,0.5807117379681609,0.6730545729768542
56,5,2023-11-25,0.5296071028871576,0.6735633315332651
56,5,2023-12-02,0.46311460892823686,0.6886729191598239
56,5,2023-12-09,0.4430578534676589,0.7090685444025916
56,5,2023-12-16,0.4512689707668737,0.7222666876859621
56,5,2023-12-23,0.5094912666848161,0.739677525219507
56,5,2023-12-30,0.4794073853955668,0.7685549418923326
56,5,2024-01-06,0.47781542892889756,0.7786932927281629
56,5,2024-01-13,0.38800862847606427,0.7794632549201453
56,5,2024-01-20,0.37194191361968504,0.793596344380624
56,5,2024-01-27,0.3961801382173193,0.8266199981965678
56,5,2024-02-03,0.41047525259509343,0.8437438764738495
56,5,2024-02-10,0.3083174426758343,0.8560051061008436
56,5,2024-02-17,0.3552361044333506,0.8678818499101607
56,5,2024-02-24,0.2488506476234433,0.8607051917649253
56,5,2024-03-02,0.32117130652945425,0.8624519385020795
56,5,2024-03-09,0.3111049916264265,0.8539904657483295
56,5,2024-03-16,0.38383451680510355,0.8559094445843123
56,5,2024-03-23,0.4922477431154665,0.8624376592736713
56,5,2024-03-30,0.5359829506519792,0.8844853724497419
56,5,2024-04-06,0.5500195296579714,0.8749858173050229
56,5,2024-04-13,0.541375991214575,0.8749200509144514
56,5,2024-04-20,0.203711236843775,0.8575876487866437
56,15,2023-11-04,0.5367144284968489,0.6884390745749601
56,15,2023-11-11,0.666453940047068,0.6781764609893942
56,15,2023-11-18,0.5660649463396614,0.6730545729768542
56,15,2023-11-25,0.5446510824572193,0.6735633315332651
56,15,2023-12-02,0.48044706955910044,0.6886729191598239
56,15,2023-12-09,0.48286970373897137,0.7090685444025916
56,15,2023-12-16,0.48516696781652596,0.7222666876859621
56,15,2023-12-23,0.5010732685001283,0.739677525219507
56,15,2023-12-30,0.49408530722553085,0.7685549418923326
56,15,2024-01-06,0.4756981182875507,0.7786932927281629
56,15,2024-01-13,0.4450197309270467,0.7794632549201453
56,15,2024-01-20,0.4096093967683068,0.793596344380624
56,15,2024-01-27,0.42084568958879076,0.8266199981965678
56,15,2024-02-03,0.4102492929781752,0.8437438764738495
56,15,2024-02-10,0.38094025947507726,0.8560051061008436
56,15,2024-02-17,0.4057879710826323,0.8678818499101607
56,15,2024-02-24,0.2901271284591991,0.8607051917649253
56,15,2024-03-02,0.34336045534872534,0.8624519385020795
56,15,2024-03-09,0.29668413143772127,0.8539904657483295
56,15,2024-03-16,0.3908002678307998,0.8559094445843123
56,15,2024-03-23,0.4933236545347787,0.8624376592736713
56,15,2024-03-30,0.5310883658251592,0.8844853724497419
56,15,2024-04-06,0.538797833933988,0.8749858173050229
56,15,2024-04-13,0.5550600017900612,0.8749200509144514
56,15,2024-04-20,0.27446160299759503,0.8575876487866437
56,25,2023-11-04,0.5553322247732783,0.6884390745749601
56,25,2023-11-11,0.6758141567198535,0.6781764609893942
56,25,2023-11-18,0.5987183333648122,0.6730545729768542
56,25,2023-11-25,0.582280000304673,0.6735633315332651
56,25,2023-12-02,0.5071843465592397,0.6886729191598239
56,25,2023-12-09,0.5035741623035597,0.7090685444025916
56,25,2023-12-16,0.5031560328282834,0.7222666876859621
56,25,2023-12-23,0.5129502720379535,0.739677525219507
56,25,2023-12-30,0.5255257076322949,0.7685549418923326
56,25,2024-01-06,0.49675304683608174,0.7786932927281629
56,25,2024-01-13,0.4553838556166221,0.7794632549201453
56,25,2024-01-20,0.42599416354185715,0.793596344380624
56,25,2024-01-27,0.4532061003589047,0.8266199981965678
56,25,2024-02-03,0.4182516680612372,0.8437438764738495
56,25,2024-02-10,0.3615876247843812,0.8560051061008436
56,25,2024-02-17,0.3927399058777309,0.8678818499101607
56,25,2024-02-24,0.29591759530734174,0.8607051917649253
56,25,2024-03-02,0.32291088631069736,0.8624519385020795
56,25,2024-03-09,0.29226718682744346,0.8539904657483295
56,25,2024-03-16,0.3756519314036443,0.8559094445843123
56,25,2024-03-23,0.4738821950191116,0.8624376592736713
56,25,2024-03-30,0.5198680931912835,0.8844853724497419
56,25,2024-04-06,0.500020058565216,0.8749858173050229
56,25,2024-04-13,0.5152183401444287,0.8749200509144514
56,25,2024-04-20,0.20335970250073998,0.8575876487866437
56,50,2023-11-04,0.5827237940051303,0.6884390745749601
56,50,2023-11-11,0.6871521559950505,0.6781764609893942
56,50,2023-11-18,0.6304852221355189,0.6730545729768542
56,50,2023-11-25,0.6223318172682323,0.6735633315332651
56,50,2023-12-02,0.5938821869590586,0.6886729191598239
56,50,2023-12-09,0.5965832484407041,0.7090685444025916
